Domain,Problem,Plan-Length,Metric,Planning Time (s),Heuristic Time (s),Search Time (s),Expanded Nodes,States Evaluated,Dead-Ends,Duplicates
logistics,logistics-39-1,309,309.0,181.193,178.597,181.182,546,44329,3645,7895
logistics,logistics-18-0,158,158.0,1.938,1.706,1.93,194,4980,656,1077
logistics,logistics-29-0,266,266.0,45.873,44.372,45.861,444,23411,2566,4974
logistics,logistics-4-2,15,15.0,0.14,0.067,0.118,16,87,21,34
logistics,logistics-5-2,10,10.0,0.09,0.051,0.084,12,67,6,37
logistics,logistics-16-0,121,121.0,2.176,1.902,2.162,180,4411,633,1082
logistics,logistics-36-1,298,298.0,87.242,85.47,87.228,461,29135,2821,5318
logistics,logistics-22-0,153,153.0,7.421,6.799,7.404,219,7887,1054,867
logistics,logistics-33-0,276,276.0,91.872,89.567,91.852,513,30386,3278,4707
logistics,logistics-25-0,205,205.0,25.016,23.921,25.008,285,13760,1608,2030
logistics,logistics-20-0,153,153.0,38.645,36.742,38.637,2707,67352,12153,22907
logistics,logistics-31-0,255,255.0,95.149,92.769,95.137,416,23920,3075,4000
logistics,log-x-2,33,33.0,2.15,1.846,2.14,66,3271,117,732
logistics,logistics-19-1,119,119.0,4.689,4.197,4.678,191,5469,703,1205
sokoban-sequential,p006-microban-sequential,119,29.0,0.893,0.583,0.885,3509,3703,291,4888
sokoban-sequential,p107-microban-sequential,90,16.0,0.93,0.707,0.919,451,575,144,490
sokoban-sequential,p127-microban-sequential,134,36.0,2.524,1.976,2.515,19432,20110,2493,28464
